start_lat,start_lon,end_lat,end_lon,start_area,end_area,distance_meters,duration_seconds,duration_in_traffic_seconds,duration_per_meter
13.0763573,80.2015481,13.0771022,80.2066573,Anna Nagar,Amaravathi Nagar,565,58,49,0.08672566371681416
13.0577844,80.2576907,13.0608212,80.2613762,Thousand Lights East,Anna Salai,520,64,51,0.09807692307692308
12.9209082,80.1121387,12.9177746,80.1084128,Ganapathipuram,West Tambaram,534,39,34,0.06367041198501873
12.9299684,80.1212568,12.9264852,80.1177381,West Tambaram,West Tambaram,541,68,57,0.10536044362292052
12.9012737,80.2486642,12.9005913,80.2532766,Akkarai,Sholinganallur,503,80,80,0.15904572564612326
12.905517,80.2492449,12.904883,80.2547024,Injambakkam,Injambakkam,590,148,140,0.23728813559322035
13.0826299,80.288992,13.0873506,80.2897242,Fort Saint George,Parrys,538,67,54,0.10037174721189591
13.0091943,80.2286092,13.0082459,80.2334763,Anna University,Anna University,538,49,40,0.07434944237918216
13.0082459,80.2334763,13.0073267,80.2380038,Anna University,Thoraipakkam,501,59,45,0.08982035928143713
12.9806818,80.2495031,12.9812926,80.2434345,Dr. Vasi Estate,IBMS,661,81,63,0.09531013615733737
12.9863017,80.2432971,12.9862919,80.2487748,Anbalagan Nagar,Tharamani,595,78,56,0.09411764705882353
13.092246,80.2695298,13.0936494,80.2736174,Periyamedu,Jutkapuram,527,105,90,0.17077798861480076
13.0540537,80.2282332,13.0539651,80.2330448,Taylor Estate,Parthsarathy Puram,523,69,60,0.1147227533460803
13.0104614,80.2163283,13.0087515,80.2113572,Little Mount,Guindy Industrial Estate,574,64,57,0.09930313588850175
12.9972779,80.2164696,13.000809,80.2132959,Guindy,Maduvinkarai,522,81,67,0.12835249042145594
13.0736861,80.2853397,13.078669,80.2822838,Port Trust Officers Quarters,Port Trust Officers Quarters,674,71,60,0.08902077151335312
12.944719,80.1350306,12.9487999,80.1380521,Mahalakshmi Colony,New Colony,560,47,43,0.07678571428571429
13.0241281,80.2501257,13.0250127,80.2480774,RA Puram,Raja Annamalai Puram,713,137,135,0.18934081346423562
13.0258504,80.2484041,13.0234506,80.2496862,Raja Annamalai Puram,RA Puram,705,133,116,0.16453900709219857
12.9939188,80.185461,12.9910147,80.180964,National Airports Authority,National Airports Authority,587,57,53,0.09028960817717206
12.9910147,80.180964,12.9881813,80.1772959,National Airports Authority,National Airports Authority Colony,507,74,77,0.15187376725838264
13.1044141,80.2714042,13.0983333,80.2686015,Vasuki Nagar,Vasuki Nagar,792,98,92,0.11616161616161616
13.1027889,80.2947831,13.0980717,80.2936136,Chennai,Chennai Port Trust,541,56,50,0.09242144177449169
13.1071903,80.2691327,13.1109258,80.2656715,Vasuki Nagar,Kalyanapuram,557,49,43,0.07719928186714542
13.1021432,80.2603599,13.1039085,80.2560806,Pattalam,Binny Garden,526,62,54,0.10266159695817491
13.0579887,80.1601044,13.0546527,80.1559288,Metpar Nagar,Odamanagar,586,72,61,0.10409556313993173
13.0121486,80.2210646,13.0104614,80.2163283,Chennai,Little Mount,547,69,63,0.11517367458866545
13.0081079,80.2036735,13.0127638,80.2039554,Guindy Industrial Estate,Guindy Industrial Estate,521,42,35,0.0671785028790787
12.916394,80.1013942,12.922054,80.1006146,Annai Indra Nagar,Karummariamman Nagar,635,39,35,0.05511811023622047
12.922054,80.1006146,12.9268812,80.1000363,Karummariamman Nagar,Bharathi Nagar,540,32,28,0.05185185185185185
12.9268812,80.1000363,12.9317063,80.0995622,Bharathi Nagar,West Tambaram,539,30,26,0.04823747680890538
12.9317063,80.0995622,12.9365224,80.0992962,West Tambaram,West Tambaram,538,31,28,0.05204460966542751
12.9365224,80.0992962,12.9409784,80.1021074,West Tambaram,Kannadapalayam,599,34,30,0.05008347245409015
12.9409784,80.1021074,12.946944,80.1070093,Kannadapalayam,Chennai,869,49,42,0.04833141542002301
12.946944,80.1070093,12.9502541,80.1105517,Chennai,thirumangaialwarpuram,551,31,27,0.04900181488203267
12.9502541,80.1105517,12.9517041,80.1153308,thirumangaialwarpuram,Tiruneermalai,542,31,27,0.04981549815498155
12.9517041,80.1153308,12.9544797,80.1187643,Tiruneermalai,West Tambaram,506,28,24,0.04743083003952569
12.9544797,80.1187643,12.9595612,80.1192268,West Tambaram,Tiruneermalai,570,31,28,0.04912280701754386
12.9595612,80.1192268,12.965428,80.1189549,Tiruneermalai,Tiruneermalai,653,35,30,0.045941807044410414
12.965428,80.1189549,12.9717061,80.118635,Tiruneermalai,Thendral Nagar,699,38,35,0.05007153075822604
12.9717061,80.118635,12.9791332,80.1204199,Thendral Nagar,Chennai,851,46,41,0.0481786133960047
12.9791332,80.1204199,12.985136,80.1208968,Chennai,Chamundeshwari Nagar,670,36,32,0.04776119402985075
12.985136,80.1208968,12.9932258,80.1217073,Chamundeshwari Nagar,Sadanandapuram,904,50,45,0.049778761061946904
12.9932258,80.1217073,13.0014217,80.1263593,Sadanandapuram,Akash Nagar,1048,57,51,0.04866412213740458
13.0014217,80.1263593,13.0059067,80.1272489,Akash Nagar,Kovur Colony,512,30,26,0.05078125
13.0059067,80.1272489,13.0110224,80.1273385,Kovur Colony,Ambal Nagar II,569,34,33,0.05799648506151142
13.0110224,80.1273385,13.0151619,80.1299135,Ambal Nagar II,Rajappa Nagar,558,33,29,0.05197132616487455
13.0151619,80.1299135,13.0198868,80.1355268,Rajappa Nagar,Jyothi Nagar,804,48,42,0.05223880597014925
13.0198868,80.1355268,13.0238763,80.1404641,Jyothi Nagar,Govindaraj Nagar,695,39,35,0.050359712230215826
13.0238763,80.1404641,13.028341,80.1459896,Govindaraj Nagar,Ramanatheshwarar Nagar,774,46,39,0.050387596899224806
